1985-01-01 00:00:00+01,18,AT
1986-01-01 00:00:00+01,10,AT
1987-01-01 00:00:00+01,9,AT
1988-01-01 00:00:00+01,8,AT
1989-01-01 00:00:00+01,14,AT
1990-01-01 00:00:00+01,8,AT
1991-01-01 00:00:00+01,12,AT
1992-01-01 00:00:00+01,13,AT
1993-01-01 00:00:00+01,7,AT
1994-01-01 00:00:00+01,21,AT
1995-01-01 00:00:00+01,33,AT
1996-01-01 00:00:00+01,14,AT
1997-01-01 00:00:00+01,9,AT
1998-01-01 00:00:00+01,9,AT
1999-01-01 00:00:00+01,12,AT
2000-01-01 00:00:00+01,30,AT
2001-01-01 00:00:00+01,89,AT
2002-01-01 00:00:00+01,253,AT
2003-01-01 00:00:00+01,866,AT
2004-01-01 00:00:00+01,1442,AT
2005-01-01 00:00:00+01,3999,AT
2006-01-01 00:00:00+01,6393,AT
2007-01-01 00:00:00+01,6737,AT
2008-01-01 00:00:00+01,7618,AT
2009-01-01 00:00:00+01,9578,AT
2010-01-01 00:00:00+01,1464,AT
1973-01-01 00:00:00+01,15413,AU
1974-01-01 00:00:00+01,28798,AU
1975-01-01 00:00:00+01,28329,AU
1976-01-01 00:00:00+01,22350,AU
1978-01-01 00:00:00+01,1,AU
1985-01-01 00:00:00+01,3,AU
1986-01-01 00:00:00+01,3,AU
1987-01-01 00:00:00+01,3,AU
1988-01-01 00:00:00+01,3,AU
1989-01-01 00:00:00+01,5,AU
1990-01-01 00:00:00+01,3,AU
1991-01-01 00:00:00+01,3,AU
1992-01-01 00:00:00+01,1,AU
1993-01-01 00:00:00+01,2,AU
1994-01-01 00:00:00+01,2,AU
1995-01-01 00:00:00+01,6,AU
1997-01-01 00:00:00+01,2,AU
1998-01-01 00:00:00+01,2,AU
1999-01-01 00:00:00+01,4,AU
2000-01-01 00:00:00+01,17,AU
2001-01-01 00:00:00+01,40,AU
2002-01-01 00:00:00+01,117,AU
2003-01-01 00:00:00+01,313,AU
2004-01-01 00:00:00+01,470,AU
2005-01-01 00:00:00+01,1337,AU
2006-01-01 00:00:00+01,2820,AU
2007-01-01 00:00:00+01,3116,AU
2008-01-01 00:00:00+01,3135,AU
2009-01-01 00:00:00+01,4147,AU
2010-01-01 00:00:00+01,600,AU
1973-01-01 00:00:00+01,79,AW
1974-01-01 00:00:00+01,125,AW
1975-01-01 00:00:00+01,116,AW
1976-01-01 00:00:00+01,87,AW
1999-01-01 00:00:00+01,1,AW
2000-01-01 00:00:00+01,2,AW
2003-01-01 00:00:00+01,5,AW
2004-01-01 00:00:00+01,10,AW
2005-01-01 00:00:00+01,15,AW
2006-01-01 00:00:00+01,27,AW
2007-01-01 00:00:00+01,23,AW
2008-01-01 00:00:00+01,23,AW
2009-01-01 00:00:00+01,27,AW
2010-01-01 00:00:00+01,8,AW
1974-01-01 00:00:00+01,2,AX
1975-01-01 00:00:00+01,1,AX
2004-01-01 00:00:00+01,1,AX
2005-01-01 00:00:00+01,1,AX
2006-01-01 00:00:00+01,3,AX
2007-01-01 00:00:00+01,2,AX
2008-01-01 00:00:00+01,1,AX
2009-01-01 00:00:00+01,1,AX
2010-01-01 00:00:00+01,1,AX
1973-01-01 00:00:00+01,1,AZ
1975-01-01 00:00:00+01,1,AZ
1985-01-01 00:00:00+01,11,AZ
1986-01-01 00:00:00+01,4,AZ
1987-01-01 00:00:00+01,5,AZ
1988-01-01 00:00:00+01,7,AZ
1989-01-01 00:00:00+01,6,AZ
1990-01-01 00:00:00+01,6,AZ
1991-01-01 00:00:00+01,4,AZ
1992-01-01 00:00:00+01,10,AZ
1993-01-01 00:00:00+01,2,AZ
1994-01-01 00:00:00+01,7,AZ
1995-01-01 00:00:00+01,2,AZ
1996-01-01 00:00:00+01,7,AZ
1997-01-01 00:00:00+01,4,AZ
1998-01-01 00:00:00+01,5,AZ
1999-01-01 00:00:00+01,4,AZ
2000-01-01 00:00:00+01,18,AZ
2001-01-01 00:00:00+01,64,AZ
2002-01-01 00:00:00+01,153,AZ
2003-01-01 00:00:00+01,601,AZ
2004-01-01 00:00:00+01,1081,AZ
2005-01-01 00:00:00+01,2519,AZ
2006-01-01 00:00:00+01,4413,AZ
2007-01-01 00:00:00+01,4807,AZ
2008-01-01 00:00:00+01,5422,AZ
2009-01-01 00:00:00+01,6028,AZ
2010-01-01 00:00:00+01,903,AZ
1994-01-01 00:00:00+01,1,BA
1995-01-01 00:00:00+01,17,BA
2000-01-01 00:00:00+01,4,BA
2001-01-01 00:00:00+01,4,BA
2002-01-01 00:00:00+01,1,BA
2003-01-01 00:00:00+01,42,BA
2004-01-01 00:00:00+01,35,BA
2005-01-01 00:00:00+01,17,BA
2006-01-01 00:00:00+01,193,BA
2007-01-01 00:00:00+01,302,BA
2008-01-01 00:00:00+01,273,BA
2009-01-01 00:00:00+01,336,BA
2010-01-01 00:00:00+01,66,BA
1973-01-01 00:00:00+01,1893,BB
1974-01-01 00:00:00+01,4736,BB
1975-01-01 00:00:00+01,3964,BB
1976-01-01 00:00:00+01,4462,BB
1994-01-01 00:00:00+01,1,BB
2000-01-01 00:00:00+01,1,BB
2003-01-01 00:00:00+01,1,BB
2004-01-01 00:00:00+01,5,BB
2005-01-01 00:00:00+01,42,BB
2006-01-01 00:00:00+01,417,BB
2007-01-01 00:00:00+01,364,BB
2008-01-01 00:00:00+01,120,BB
2009-01-01 00:00:00+01,134,BB
2010-01-01 00:00:00+01,29,BB
1973-01-01 00:00:00+01,8189,BD
1974-01-01 00:00:00+01,12174,BD
1975-01-01 00:00:00+01,11841,BD
1976-01-01 00:00:00+01,10214,BD
1979-01-01 00:00:00+01,1,BD
1985-01-01 00:00:00+01,2,BD
1986-01-01 00:00:00+01,3,BD
1987-01-01 00:00:00+01,4,BD
1988-01-01 00:00:00+01,3,BD
1989-01-01 00:00:00+01,2,BD
1990-01-01 00:00:00+01,5,BD
1991-01-01 00:00:00+01,5,BD
1992-01-01 00:00:00+01,4,BD
1994-01-01 00:00:00+01,2,BD
1995-01-01 00:00:00+01,3,BD
1996-01-01 00:00:00+01,2,BD
