1973-03-01 00:00:00+01,1,TG,7.53333,1.13333
1973-03-01 00:00:00+01,1,TV,-8.52425,179.19417
1973-03-01 00:00:00+01,1,GB,55.6194,-4.65508
1973-03-01 00:00:00+01,1,TZ,-8.9,33.45
1973-03-01 00:00:00+01,1,GF,4.0,-53.0
1973-03-01 00:00:00+01,1,UG,2.77457,32.29899
1973-03-01 00:00:00+01,1,GR,37.94745,23.63708
1973-03-01 00:00:00+01,1,YU,43.34333,17.80806
1973-03-01 00:00:00+01,1,YU,44.20169,17.90397
1973-03-01 00:00:00+01,1,ZA,-26.26781,27.85849
1973-03-01 00:00:00+01,1,GY,6.00809,-58.30714
1973-03-01 00:00:00+01,1,BG,43.85639,25.97083
1973-03-01 00:00:00+01,1,IL,32.81841,34.9885
1973-03-01 00:00:00+01,1,IR,35.83351,50.96556
1973-03-01 00:00:00+01,1,IS,65.68353,-18.0878
1973-03-01 00:00:00+01,1,BR,-22.90278,-43.2075
1973-03-01 00:00:00+01,1,BR,-3.71722,-38.54306
1973-03-01 00:00:00+01,1,JP,35.18147,136.90641
1973-03-01 00:00:00+01,1,JP,43.06417,141.34694
1973-03-01 00:00:00+01,1,KN,17.29484,-62.7261
1973-03-01 00:00:00+01,1,KP,37.97083,126.55444
1973-03-01 00:00:00+01,1,KP,39.91833,127.53639
1973-03-01 00:00:00+01,1,CD,0.51528,25.19099
1973-03-01 00:00:00+01,1,LC,13.9957,-61.00614
1973-03-01 00:00:00+01,1,CF,7.0,21.0
1973-03-01 00:00:00+01,1,LY,32.37535,15.09254
1973-03-01 00:00:00+01,1,MF,18.06667,-63.08333
1973-03-01 00:00:00+01,1,CH,46.516,6.63282
1973-03-01 00:00:00+01,1,ML,14.4843,-4.18296
1973-03-01 00:00:00+01,1,MV,3.25,73.0
1973-03-01 00:00:00+01,1,MY,4.5841,101.0829
1973-03-01 00:00:00+01,1,NL,51.44083,5.47778
1973-03-01 00:00:00+01,2,NO,60.39299,5.32415
1973-03-01 00:00:00+01,2,OM,17.01505,54.09237
1973-03-01 00:00:00+01,2,AE,24.0,54.0
1973-03-01 00:00:00+01,2,AE,25.35731,55.4033
1973-03-01 00:00:00+01,2,AF,31.61332,65.71013
1973-03-01 00:00:00+01,2,DM,15.4167,-61.3333
1973-03-01 00:00:00+01,2,RW,-2.07444,29.75667
1973-03-01 00:00:00+01,2,RW,-2.59667,29.73944
1973-03-01 00:00:00+01,2,SB,-8.0,159.0
1973-03-01 00:00:00+01,2,SD,15.64453,32.47773
1973-03-01 00:00:00+01,2,EG,30.00808,31.21093
1973-03-01 00:00:00+01,2,AO,-12.57626,13.40547
1973-03-01 00:00:00+01,2,SU,40.18111,44.51361
1973-03-01 00:00:00+01,2,SU,40.49748,44.7662
